time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7790.924317	160.905441	0.566871	0.222504	75
7792.932280	163.308746	0.564744	0.217995	77
7794.945139	163.741791	0.562117	0.215039	79
7796.961058	163.213531	0.560450	0.214487	81
7798.980468	162.893036	0.560644	0.213984	83
7800.998670	163.227234	0.561430	0.212886	85
7803.015942	163.019531	0.560167	0.212885	87
7805.041919	161.938736	0.556012	0.215653	89
7807.070806	161.013885	0.553817	0.218569	91
7809.088296	161.460403	0.560581	0.215642	93
7811.088374	162.613556	0.567195	0.209365	95
7813.096986	162.626205	0.556101	0.211897	97
7815.135026	162.001953	0.551197	0.216172	99
7817.151587	162.352982	0.564213	0.210392	101
7819.146301	162.656097	0.562872	0.206827	103
7821.177077	162.258774	0.550191	0.212741	105
7823.210791	161.967316	0.554434	0.212764	107
7825.213133	162.820129	0.564731	0.206775	109
