crossing time (s)	slope (V/s)	crossing number
9327.143419	4.462597	8777
9328.082604	6.437696	8778
9329.163760	4.351322	8779
9330.100063	5.443230	8780
9331.179860	5.439941	8781
9332.129396	4.942222	8782
9333.187164	5.252960	8783
9334.159997	4.717530	8784
9335.196206	5.384545	8785
9336.185469	5.736254	8786
9337.217046	6.987888	8787
9338.195622	7.405355	8788
9339.256410	3.874479	8789
9340.197744	6.676635	8790
9341.277559	4.076327	8791
9342.222417	7.074540	8792
9343.280910	4.028982	8793
9344.260729	4.791123	8794
9345.293380	5.077069	8795
9346.276735	5.974991	8796
9347.329441	5.452527	8797
9348.279654	5.674647	8798
9349.355324	6.599155	8799
9350.299513	5.707152	8800
9351.364137	6.067515	8801
9352.333504	5.948961	8802
9353.370973	6.166861	8803
9354.359964	7.319095	8804
9355.386214	6.496078	8805
9356.374970	7.965656	8806
9357.407785	6.567853	8807
9358.386925	8.683355	8808
9359.438918	4.799269	8809
9360.399500	8.033064	8810
9361.464061	6.122036	8811
9362.418845	6.835853	8812
9363.482247	7.064930	8813
9364.438711	7.160325	8814
9365.502024	5.919739	8815
9366.457170	7.867389	8816
9367.522974	5.072207	8817
9368.476253	7.240486	8818
9369.541268	6.644569	8819
9370.500843	5.851593	8820
9371.557023	7.899522	8821
9372.526860	6.138440	8822
9373.567909	7.212425	8823
9374.553186	6.820821	8824
9375.579400	7.303047	8825
9376.572444	8.440849	8826
9377.598685	7.534092	8827
9378.582704	8.327475	8828
9379.629048	6.733111	8829
9380.592313	8.525644	8830
9381.653202	6.026560	8831
9382.609532	8.595147	8832
9383.668880	5.786774	8833
9384.636774	7.927774	8834
9385.676702	6.916708	8835
9386.664100	7.764852	8836
9387.689478	6.523948	8837
9388.680589	7.420219	8838
9389.717860	6.763161	8839
9390.690610	6.755727	8840
9391.746532	6.782528	8841
9392.702023	7.697690	8842
9393.769578	6.894974	8843
9394.721457	7.679665	8844
9395.785165	7.563490	8845
9396.744820	7.785201	8846
9397.802161	7.893319	8847
9398.767513	7.862157	8848
9399.814886	7.905178	8849
9400.791450	8.551330	8850
9401.833009	7.638443	8851
9402.810561	8.287080	8852
9403.851151	7.829234	8853
9404.829689	8.160699	8854
9405.868870	7.834967	8855
9406.848007	8.223912	8856
9407.889571	8.631057	8857
9408.863518	8.247357	8858
9409.912735	7.829674	8859
9410.876676	8.162528	8860
9411.936269	8.251762	8861
9412.892448	7.797740	8862
9413.953518	8.660591	8863
9414.912826	8.488914	8864
9415.967901	8.627337	8865
9416.936291	9.055769	8866
9417.978853	8.815204	8867
9418.961304	9.679105	8868
9419.989232	8.989723	8869
9420.985322	9.342607	8870
9422.006611	8.681027	8871
9423.002564	9.992404	8872
9424.027089	8.556726	8873
9425.012805	10.554435	8874
9426.060417	6.352498	8875
9427.022881	9.968797	8876
9428.086927	8.289402	8877
9429.039878	9.347132	8878
9430.101985	8.083727	8879
9431.054610	9.991339	8880
9432.116070	7.768343	8881
9433.084732	8.906294	8882
9434.128238	8.477876	8883
9435.108386	8.603947	8884
9436.142469	8.502293	8885
9437.130167	8.582213	8886
9438.159732	8.472186	8887
9439.152467	8.089484	8888
9440.180637	9.387777	8889
9441.174652	9.129163	8890
9442.196845	10.286487	8891
9443.190374	9.254821	8892
9444.214959	10.549811	8893
9445.207749	9.136905	8894
9446.233045	9.760120	8895
9447.222525	8.107743	8896
9448.256729	8.426736	8897
9449.236098	7.441886	8898
9450.278814	8.086171	8899
9451.247590	8.845717	8900
9452.300595	7.816628	8901
9453.262490	10.608168	8902
9454.321691	7.718854	8903
9455.282442	11.007231	8904
9456.340087	9.101161	8905
9457.303670	10.475061	8906
9458.356435	10.778782	8907
9459.326096	9.419974	8908
9460.373982	10.359099	8909
9461.349457	9.063746	8910
9462.384556	8.671584	8911
9463.370248	10.246882	8912
9464.394527	9.178310	8913
9465.390289	10.878392	8914
9466.412111	10.220037	8915
9467.408073	11.318722	8916
9468.437451	10.209339	8917
9469.423245	9.766218	8918
9470.462572	10.497473	8919
9471.435717	8.807655	8920
9472.486405	10.161724	8921
9473.448038	9.148388	8922
9474.505798	10.200569	8923
9475.464484	9.772914	8924
9476.525060	10.148391	8925
9477.482609	10.445524	8926
9478.539975	9.829913	8927
9479.501808	10.964989	8928
9480.560560	9.509831	8929
9481.519517	10.655294	8930
9482.577882	9.774872	8931
9483.539703	10.525304	8932
9484.596065	10.231098	8933
9485.559362	10.754825	8934
9486.610851	10.277610	8935
9487.578479	11.204639	8936
9488.626563	10.043021	8937
9489.599798	11.712931	8938
9490.639081	10.460938	8939
9491.622144	11.657142	8940
9492.655380	10.216184	8941
9493.642812	11.349060	8942
9494.671723	10.647721	8943
9495.664178	11.316823	8944
9496.688695	11.151666	8945
9497.684149	11.932932	8946
9498.706083	11.779050	8947
9499.696587	12.253469	8948
9500.727580	11.344525	8949
9501.708965	11.421414	8950
9502.751672	9.907678	8951
9503.723253	11.482760	8952
9504.776212	9.928029	8953
9505.738303	11.352769	8954
9506.796605	10.313082	8955
9507.756774	11.408650	8956
9508.813305	10.146121	8957
9509.776375	11.631071	8958
9510.827922	10.865204	8959
9511.797179	11.833654	8960
9512.842930	10.744874	8961
9513.816381	12.347507	8962
9514.859935	10.686461	8963
9515.835538	12.223603	8964
9516.877031	10.980845	8965
9517.853482	11.875847	8966
9518.894398	11.195774	8967
9519.872833	12.039834	8968
9520.914933	11.669074	8969
9521.891223	11.877145	8970
9522.935127	11.195062	8971
9523.907214	12.022482	8972
9524.953047	11.418586	8973
9525.924282	11.609471	8974
9526.972699	11.754260	8975
9527.940053	11.353452	8976
9528.992361	11.805344	8977
9529.959377	11.148065	8978
9531.010797	11.491415	8979
9531.978785	11.095994	8980
9533.026508	10.976975	8981
9533.999115	11.552800	8982
9535.038771	10.446855	8983
9536.021501	12.474621	8984
9537.049302	10.809696	8985
9538.041074	13.013381	8986
9539.061895	11.948469	8987
9540.062497	13.021964	8988
9541.082043	13.016262	8989
9542.081796	12.842441	8990
9543.104185	13.305222	8991
9544.101179	11.497281	8992
9545.127498	13.263679	8993
9546.113321	10.275909	8994
9547.149335	12.648591	8995
9548.125128	9.863220	8996
9549.168501	12.163868	8997
9550.139255	10.843984	8998
9551.185693	11.551552	8999
9552.155510	11.851580	9000
9553.203232	11.053840	9001
9554.172365	12.166831	9002
9555.218569	10.865993	9003
9556.191632	12.443173	9004
9557.235905	11.110770	9005
9558.211143	13.042098	9006
9559.252203	11.156907	9007
9560.231467	12.636824	9008
9561.271542	11.572751	9009
9562.250806	12.496739	9010
9563.284537	11.281265	9011
9564.271756	12.004625	9012
9565.299838	11.649124	9013
9566.294044	11.985138	9014
9567.319346	11.987405	9015
9568.314259	11.965153	9016
9569.335654	12.495335	9017
9570.336592	12.396747	9018
9571.352732	13.187263	9019
9572.348588	12.951249	9020
9573.372443	13.156438	9021
9574.360831	12.945377	9022
9575.395082	12.833290	9023
9576.374050	13.206740	9024
9577.416085	12.984743	9025
9578.389983	12.933894	9026
9579.436480	12.960539	9027
9580.405790	13.104729	9028
9581.455452	13.170645	9029
9582.426585	12.914238	9030
9583.471123	13.858717	9031
9584.443120	13.096149	9032
9585.489893	13.449353	9033
9586.460833	13.115564	9034
9587.505437	14.060124	9035
9588.479581	13.438545	9036
9589.522469	13.549009	9037
9590.500104	13.412943	9038
9591.541334	13.724125	9039
9592.517099	12.856862	9040
9593.561080	13.865625	9041
9594.534365	12.878014	9042
9595.579791	14.023391	9043
9596.551837	12.346713	9044
9597.600216	14.109892	9045
9598.568381	12.304611	9046
9599.618329	13.638900	9047
9600.584723	11.793402	9048
9601.637106	13.344442	9049
9602.603330	11.865674	9050
9603.652705	12.581266	9051
9604.622150	12.094621	9052
9605.667350	12.413187	9053
9606.642652	12.761787	9054
9607.679218	11.952023	9055
9608.663108	13.396621	9056
9609.692384	12.682698	9057
9610.684223	14.037927	9058
9611.706199	13.846842	9059
9612.706192	14.362668	9060
9613.725757	14.723531	9061
9614.727056	14.332656	9062
9615.744801	14.817789	9063
9616.744994	13.863439	9064
9617.768262	14.855876	9065
9618.761027	12.495606	9066
9619.788001	14.571021	9067
9620.777564	11.807765	9068
9621.806803	14.244063	9069
9622.789689	11.425432	9070
9623.823972	13.306678	9071
9624.805148	11.725041	9072
9625.841874	12.706927	9073
9626.821704	11.848268	9074
9627.858527	12.247300	9075
9628.839727	12.296549	9076
9629.874269	12.607243	9077
9630.857573	12.502500	9078
