time (s)	coil I (A)	last det (V)	int current (uC)
5618.716638	0.869246	0.386072	387.683533
5618.717542	1.305040	0.386072	1567.439941
5618.718438	1.316539	0.386072	2747.059082
5618.719400	1.288378	0.386072	3986.478516
5618.720306	1.259564	0.386072	5127.643555
5618.721204	0.965962	0.386072	5995.077148
5618.722122	0.141284	0.386072	6124.775879
5618.723065	0.088887	0.386072	6208.596191
5618.723969	0.088975	0.386072	6289.029297
5618.724860	0.089015	0.386072	6368.341797
5618.725789	0.089030	0.386072	6451.050293
5618.726701	0.088887	0.386072	6532.114746
5618.727607	0.088978	0.386072	6612.729004
5618.728499	0.089041	0.386072	6692.153320
5618.729436	0.089015	0.386072	6775.560059
5618.730336	0.088938	0.386072	6855.604492
5619.748849	0.876251	0.364795	417.095581
5619.749758	1.307369	0.364795	1605.494263
5619.750683	1.315210	0.364795	2822.063477
5619.751629	1.287063	0.364795	4039.625000
5619.752558	1.257583	0.364795	5207.919922
5619.753467	0.880023	0.364795	6007.860840
5619.754415	0.117363	0.364795	6119.121094
5619.755340	0.088876	0.364795	6201.331055
5619.756256	0.088982	0.364795	6282.838379
5619.757151	0.088956	0.364795	6362.454102
5619.758091	0.088942	0.364795	6446.059082
5619.759030	0.088905	0.364795	6529.541016
5619.759920	0.088967	0.364795	6608.721680
5619.760850	0.088942	0.364795	6691.437500
5619.761779	0.088923	0.364795	6774.047363
5619.762706	0.088975	0.364795	6856.526855
5620.736464	0.862068	0.388288	381.896057
5620.737366	1.304458	0.388288	1558.517090
5620.738260	1.316843	0.388288	2735.774902
5620.739211	1.289656	0.388288	3962.237305
5620.740130	1.260150	0.388288	5120.315430
5620.741064	0.941093	0.388288	5999.295898
5620.741950	0.137523	0.388288	6121.141602
5620.742891	0.088846	0.388288	6204.746094
5620.743805	0.088927	0.388288	6286.025391
5620.744728	0.088945	0.388288	6368.122070
5620.745617	0.088938	0.388288	6447.187988
5620.746572	0.088975	0.388288	6532.158691
5620.747471	0.088942	0.388288	6612.117187
5620.748363	0.089004	0.388288	6691.508789
5620.749305	0.089000	0.388288	6775.347168
5620.750224	0.088938	0.388288	6857.081055
5621.780424	0.856289	0.362853	372.485718
5621.781379	1.307175	0.362853	1620.838135
5621.782303	1.314840	0.362853	2835.750488
5621.783232	1.287503	0.362853	4031.840332
5621.784129	1.258784	0.362853	5160.969727
5621.785087	0.882488	0.362853	6006.393066
5621.785986	0.122556	0.362853	6116.571289
5621.786891	0.088861	0.362853	6196.990723
5621.787776	0.089088	0.362853	6275.833496
5621.788721	0.089011	0.362853	6359.949219
5621.789629	0.088934	0.362853	6440.701660
5621.790521	0.088953	0.362853	6520.047363
5621.791448	0.088967	0.362853	6602.520020
5621.792365	0.089008	0.362853	6684.140137
5621.793273	0.088883	0.362853	6764.846191
5621.794173	0.088975	0.362853	6844.923340
5622.760914	0.858973	0.401013	381.384186
5622.761812	1.303762	0.401013	1552.162598
5622.762768	1.315569	0.401013	2809.846436
5622.763669	1.288557	0.401013	3970.836426
5622.764590	1.259308	0.401013	5130.659180
5622.765501	0.952782	0.401013	5998.643555
5622.766448	0.126669	0.401013	6118.598633
5622.767365	0.088663	0.401013	6199.902832
5622.768283	0.088832	0.401013	6281.450195
5622.769171	0.088781	0.401013	6360.287109
5622.770120	0.088920	0.401013	6444.671875
5622.771039	0.088762	0.401013	6526.244141
5622.771931	0.088832	0.401013	6605.481934
5622.772879	0.088806	0.401013	6689.669922
5622.773774	0.088799	0.401013	6769.145020
5622.774691	0.088865	0.401013	6850.633789
5623.796181	0.864587	0.368988	383.012207
5623.797078	1.304315	0.368988	1552.982910
5623.798025	1.315792	0.368988	2799.038086
5623.798941	1.288198	0.368988	3979.027832
5623.799848	1.259663	0.368988	5121.541992
5623.800748	0.970375	0.368988	5994.879395
5623.801701	0.130627	0.368988	6119.367187
5623.802598	0.088733	0.368988	6198.960449
5623.803501	0.088795	0.368988	6279.142578
5623.804390	0.088905	0.368988	6358.179199
5623.805325	0.088876	0.368988	6441.277832
5623.806241	0.088850	0.368988	6522.664551
5623.807134	0.088810	0.368988	6601.971680
5623.808068	0.088927	0.368988	6685.029297
5623.808970	0.088982	0.368988	6765.291016
5623.809872	0.088806	0.368988	6845.394043
5624.775627	0.858750	0.402737	378.708771
5624.776612	1.308527	0.402737	1667.607300
5624.777536	1.314188	0.402737	2881.917236
5624.778431	1.286799	0.402737	4033.602539
5624.779356	1.257642	0.402737	5196.920898
5624.780314	0.851074	0.402737	6012.250000
5624.781232	0.114060	0.402737	6116.957031
5624.782131	0.088729	0.402737	6196.724609
5624.783057	0.088795	0.402737	6278.948730
5624.783994	0.088850	0.402737	6362.201172
5624.784917	0.088824	0.402737	6444.186035
5624.785805	0.088810	0.402737	6523.049316
5624.786751	0.088810	0.402737	6607.063477
5624.787697	0.088839	0.402737	6691.105469
5624.788591	0.088777	0.402737	6770.472168
5624.789519	0.088740	0.402737	6852.823242
5625.814477	0.864946	0.327509	380.576385
5625.815444	1.309578	0.327509	1646.938110
5625.816348	1.314965	0.327509	2835.666016
5625.817244	1.288352	0.327509	3990.029297
5625.818184	1.259030	0.327509	5173.517090
5625.819120	0.899077	0.327509	6015.053223
5625.820017	0.126573	0.327509	6128.589844
5625.820909	0.088733	0.327509	6207.739746
5625.821840	0.088879	0.327509	6290.486328
5625.822763	0.088839	0.327509	6372.484863
5625.823671	0.088835	0.327509	6453.147461
5625.824562	0.088898	0.327509	6532.355469
5625.825505	0.088850	0.327509	6616.141113
5625.826405	0.088806	0.327509	6696.066406
5625.827293	0.088857	0.327509	6774.971680
5625.828233	0.088898	0.327509	6858.535645
5626.789873	0.881210	0.390032	420.337006
5626.790828	1.310537	0.390032	1671.900024
5626.791753	1.314104	0.390032	2887.446289
5626.792652	1.286576	0.390032	4044.078125
5626.793604	1.256975	0.390032	5240.718262
5626.794543	0.825509	0.390032	6015.871094
5626.795444	0.113745	0.390032	6118.355469
5626.796358	0.088718	0.390032	6199.443848
5626.797287	0.088854	0.390032	6281.988770
5626.798217	0.088817	0.390032	6364.588867
5626.799117	0.088887	0.390032	6444.586914
5626.800034	0.088883	0.390032	6526.092773
5626.800972	0.088905	0.390032	6609.485840
5626.801881	0.088865	0.390032	6690.263672
5626.802771	0.088883	0.390032	6769.369629
5626.803713	0.088792	0.390032	6853.011230
5627.835887	0.884857	0.296213	412.343445
5627.836783	1.306333	0.296213	1582.817871
5627.837681	1.316246	0.296213	2764.807129
5627.838622	1.288704	0.296213	3977.477051
5627.839530	1.259539	0.296213	5121.138184
5627.840468	0.931318	0.296213	5994.714844
5627.841356	0.134561	0.296213	6114.204590
5627.842302	0.088854	0.296213	6198.260254
5627.843198	0.088861	0.296213	6277.879883
5627.844090	0.088960	0.296213	6357.231934
5627.845011	0.089004	0.296213	6439.204590
5627.845937	0.088982	0.296213	6521.602051
5627.846832	0.088997	0.296213	6601.253906
5627.847724	0.088960	0.296213	6680.605957
5627.848652	0.088956	0.296213	6763.157227
5627.849565	0.088945	0.296213	6844.364258
5628.806092	0.861665	0.360694	379.132599
5628.807070	1.308431	0.360694	1658.778442
5628.807980	1.314221	0.360694	2854.719727
5628.808886	1.287469	0.360694	4021.166992
5628.809805	1.258202	0.360694	5177.454590
5628.810767	0.860134	0.360694	6004.903809
5628.811683	0.116481	0.360694	6111.600098
5628.812573	0.088850	0.360694	6190.676758
5628.813535	0.089008	0.360694	6276.302246
5628.814465	0.088971	0.360694	6359.045410
5628.815377	0.088956	0.360694	6440.173340
5628.816268	0.088986	0.360694	6519.459473
5628.817226	0.089015	0.360694	6604.735840
5628.818149	0.088971	0.360694	6686.855957
5628.819048	0.088975	0.360694	6766.844238
5628.819949	0.089041	0.360694	6847.069824
5629.858247	0.861508	0.331219	376.478790
5629.859222	1.309552	0.331219	1653.291870
5629.860147	1.314481	0.331219	2869.187012
5629.861044	1.287594	0.331219	4024.158691
5629.861988	1.257572	0.331219	5211.306641
5629.862904	0.876632	0.331219	6014.301758
5629.863826	0.120575	0.331219	6125.471680
5629.864714	0.088868	0.331219	6204.386719
5629.865659	0.088945	0.331219	6288.439941
5629.866564	0.088949	0.331219	6368.938965
5629.867490	0.089022	0.331219	6451.373535
5629.868384	0.088989	0.331219	6530.929687
5629.869332	0.088975	0.331219	6615.277832
5629.870252	0.089008	0.331219	6697.165039
5629.871141	0.088989	0.331219	6776.276367
5629.872070	0.088923	0.331219	6858.886230
5630.823411	0.898477	0.358265	429.471802
5630.824354	1.310387	0.358265	1665.166748
5630.825280	1.314119	0.358265	2882.040527
5630.826172	1.286803	0.358265	4029.868652
5630.827122	1.257177	0.358265	5224.186523
5630.828080	0.826875	0.358265	6016.333008
5630.828974	0.115089	0.358265	6119.222656
5630.829901	0.088846	0.358265	6201.583496
5630.830834	0.088949	0.358265	6284.572754
5630.831763	0.088865	0.358265	6367.127930
5630.832665	0.089030	0.358265	6447.432617
5630.833603	0.089004	0.358265	6530.918457
5630.834507	0.089044	0.358265	6611.414551
