time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6697.408067	19.642565	12.583900	1.560928	12
6698.412698	21.377539	12.585205	1.698625	13
6699.415607	18.552574	12.565802	1.476434	14
6700.469265	20.715744	12.587014	1.645803	15
6701.419825	19.135244	12.560224	1.523480	16
6702.469142	22.624119	12.581475	1.798209	17
6703.458770	18.861084	12.566056	1.500955	18
6704.484333	21.527765	12.585425	1.710531	19
6705.452651	18.527571	12.589039	1.471723	20
6706.519571	20.539108	12.581163	1.632529	21
6707.494373	18.282255	12.574992	1.453858	22
6708.525546	23.733971	12.585320	1.885846	23
6709.510477	18.749557	12.575903	1.490911	24
6710.568452	20.745796	12.576153	1.649614	25
6711.522058	19.962477	12.578219	1.587067	26
6712.559072	23.097471	12.578259	1.836301	27
6713.554058	19.993511	12.560600	1.591764	28
6714.590682	23.639034	12.565772	1.881224	29
6715.549595	18.954664	12.566406	1.508360	30
6716.625997	19.769182	12.572187	1.572454	31
6717.589875	20.788061	12.579588	1.652523	32
6718.624774	21.997028	12.581973	1.748297	33
6719.610048	18.907459	12.582066	1.502731	34
6720.641538	22.509476	12.583168	1.788856	35
6721.636500	19.812458	12.575532	1.575477	36
6722.662912	23.792324	12.565357	1.893486	37
6723.656104	21.680109	12.582771	1.723000	38
6724.686603	18.605310	12.556683	1.481706	39
6725.661770	16.321655	12.565022	1.298976	40
6726.695374	14.118175	12.572629	1.122929	41
6727.697969	15.707848	12.568648	1.249764	42
6728.710943	16.627686	12.554955	1.324392	43
6729.716706	15.926426	12.579170	1.266095	44
6730.726418	19.368872	12.590789	1.538337	45
6731.741727	17.980232	12.569310	1.430487	46
6732.740551	18.577503	12.563525	1.478686	47
6733.749000	16.378712	12.529093	1.307255	48
6734.768649	20.770267	12.554420	1.654419	49
6735.759865	18.629015	12.555838	1.483694	50
6736.797209	20.755299	12.591187	1.648399	51
6737.768730	19.473804	12.582070	1.547742	52
6738.811452	15.375299	12.580268	1.222176	53
6739.798511	18.894194	12.582330	1.501645	54
6740.819065	19.515303	12.569142	1.552636	55
6741.819741	16.263235	12.547353	1.296149	56
6742.827549	19.668509	12.577715	1.563759	57
6743.845931	21.165384	12.590777	1.681023	58
6744.861372	17.363819	12.547998	1.383792	59
6745.839605	17.664238	12.539053	1.408738	60
6746.880607	19.980495	12.571984	1.589288	61
6747.881977	20.194975	12.576590	1.605759	62
6748.883968	20.404854	12.555829	1.625130	63
